Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00     59.51     0.00        3     0.00     0.00  arma::solve_opts::opts_none::opts_none()
  0.00     59.51     0.00        3     0.00     0.00  arma::solve_opts::opts_tril::opts_tril()
  0.00     59.51     0.00        3     0.00     0.00  arma::solve_opts::opts_triu::opts_triu()
  0.00     59.51     0.00        3     0.00     0.00  arma::gmm_dist_eucl::gmm_dist_eucl()
  0.00     59.51     0.00        3     0.00     0.00  arma::gmm_dist_maha::gmm_dist_maha()
  0.00     59.51     0.00        3     0.00     0.00  arma::gmm_dist_prob::gmm_dist_prob()
  0.00     59.51     0.00        3     0.00     0.00  arma::gmm_seed_keep_existing::gmm_seed_keep_existing()
  0.00     59.51     0.00        3     0.00     0.00  arma::gmm_seed_random_spread::gmm_seed_random_spread()
  0.00     59.51     0.00        3     0.00     0.00  arma::gmm_seed_random_subset::gmm_seed_random_subset()
  0.00     59.51     0.00        3     0.00     0.00  arma::gmm_seed_static_spread::gmm_seed_static_spread()
  0.00     59.51     0.00        3     0.00     0.00  arma::gmm_seed_static_subset::gmm_seed_static_subset()
  0.00     59.51     0.00        3     0.00     0.00  arma::fill::fill_class<arma::fill::fill_randn>::fill_class()
  0.00     59.51     0.00        3     0.00     0.00  arma::fill::fill_class<arma::fill::fill_randu>::fill_class()
  0.00     59.51     0.00        3     0.00     0.00  arma::fill::fill_class<arma::fill::fill_zeros>::fill_class()
  0.00     59.51     0.00        3     0.00     0.00  arma::fill::fill_class<arma::fill::fill_eye>::fill_class()
  0.00     59.51     0.00        3     0.00     0.00  arma::fill::fill_class<arma::fill::fill_none>::fill_class()
  0.00     59.51     0.00        3     0.00     0.00  arma::fill::fill_class<arma::fill::fill_ones>::fill_class()
  0.00     59.51     0.00        3     0.00     0.00  void arma::arrayops::inplace_div<double>(double*, double, unsigned long long)
  0.00     59.51     0.00        3     0.00     0.00  void arma::arrayops::inplace_div_base<double>(double*, double, unsigned long long)
  0.00     59.51     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZN16HoneycombLattice14bonds_per_siteE
  0.00     59.51     0.00        1     0.00     0.00  _GLOBAL__sub_I_main
  0.00     59.51     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00     59.51     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00     59.51     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00     59.51     0.00        1     0.00     0.00  arma::Base_inv_yes<arma::eOp<arma::Mat<double>, arma::eop_pow> >::Base_inv_yes()
  0.00     59.51     0.00        1     0.00     0.00  arma::Base_eval_expr<double, arma::eOp<arma::Mat<double>, arma::eop_pow> >::Base_eval_expr()
  0.00     59.51     0.00        1     0.00     0.00  arma::Base_trans_default<arma::eOp<arma::Mat<double>, arma::eop_pow> >::Base_trans_default()
  0.00     59.51     0.00        1     0.00     0.00  arma::Col<double>::Col<arma::eOp<arma::Mat<double>, arma::eop_pow> >(arma::Base<double, arma::eOp<arma::Mat<double>, arma::eop_pow> > const&)
  0.00     59.51     0.00        1     0.00     0.00  arma::Mat<double> const& arma::Mat<double>::operator=<arma::Mat<double>, arma::eop_pow>(arma::eOp<arma::Mat<double>, arma::eop_pow> const&)
  0.00     59.51     0.00        1     0.00     0.00  arma::eOp<arma::Mat<double>, arma::eop_pow>::eOp(arma::Mat<double> const&, double)
  0.00     59.51     0.00        1     0.00     0.00  arma::eOp<arma::Mat<double>, arma::eop_pow>::~eOp()
  0.00     59.51     0.00        1     0.00     0.00  arma::Base<double, arma::eOp<arma::Mat<double>, arma::eop_pow> >::Base()
  0.00     59.51     0.00        1     0.00     0.00  arma::Proxy<arma::Mat<double> >::Proxy(arma::Mat<double> const&)
  0.00     59.51     0.00        1     0.00     0.00  void arma::eop_core<arma::eop_pow>::apply<arma::Mat<double>, arma::Mat<double> >(arma::Mat<double>&, arma::eOp<arma::Mat<double>, arma::eop_pow> const&)
  0.00     59.51     0.00        1     0.00     0.00  arma::linspace(double, double, unsigned long long)
  0.00     59.51     0.00        1     0.00     0.00  arma::enable_if2<arma::is_Mat<arma::Col<double> >::value, arma::Col<double> >::result arma::linspace<arma::Col<double> >(arma::Col<double>::pod_type, arma::Col<double>::pod_type, unsigned long long)
  0.00     59.51     0.00        1     0.00     0.00  Activator::calculateChi(arma::Col<double>&, arma::Col<double>&)
  0.00     59.51     0.00        1     0.00     0.01  Activator::calculateConvolution()
  0.00     59.51     0.00        1     0.00     0.01  Activator::run_loops(int)
  0.00     59.51     0.00        1     0.00     0.01  Activator::Activator(int, LatticeType_t)
  0.00     59.51     0.00        1     0.00     0.00  Activator::~Activator()
  0.00     59.51     0.00        1     0.00     0.00  __gnu_cxx::new_allocator<double>::new_allocator()
  0.00     59.51     0.00        1     0.00     0.00  __gnu_cxx::new_allocator<double>::~new_allocator()
  0.00     59.51     0.00        1     0.00     0.00  std::allocator<double>::allocator()
  0.00     59.51     0.00        1     0.00     0.00  std::allocator<double>::~allocator()
